ClauseType,HeadLemma,HeadUPOS,ConjLemma,ConjForm,File,SentenceID
acl:relcl,mard,NOUN,dādan,dahēd,RĀF-TD2_mptf.conllu,s72
acl:relcl,mard,NOUN,kirdan,kunēd,RĀF-TD2_mptf.conllu,s72
acl:relcl,mard,NOUN,kirdan|šōy kirdan,kunēd,RĀF-TD2_mptf.conllu,s72
acl:relcl,tang,ADJ,būdan,bawēd,RĀF-TD2_mptf.conllu,s856
root,ādūg,ADJ,būdan,būd,WZ_K35.conllu,45
advcl,būdan,AUX,dāštan,dāšt,WZ_K35.conllu,72
acl,se,NUM,šāyistan,šāyēd,WZ_K35.conllu,241
acl:cleft,rōšn-waxšišn-īh,NOUN,warzišn,warzišn,WZ_K35.conllu,271
advcl,tēx,NOUN,šudan,šud,WZ_K35.conllu,480
acl:relcl,tāg1,NOUN,dāštan,dārēd,ZWY-K20_mptf.conllu,ZWY-K20-s30
root,xwadāyīh,NOUN,kirdan,kunēd,ZWY-K20_mptf.conllu,ZWY-K20-s50
root,xwadāyīh,NOUN,būdan,bawēd,ZWY-K20_mptf.conllu,ZWY-K20-s50
root,xwadāyīh,NOUN,āwurdan,āwarēd,ZWY-K20_mptf.conllu,ZWY-K20-s50
root,xwadāyīh,NOUN,dwāristan,dwārēnd,ZWY-K20_mptf.conllu,ZWY-K20-s52
root,kam,ADJ,burdan,barēd,ZWY-K20_mptf.conllu,ZWY-K20-s119
root,sadgānag,ADJ,dāštan,dārēnd,ZWY-K20_mptf.conllu,ZWY-K20-s159
root,sidīgar,ADV,rasīdan,rasēd,ZWY-K20_mptf.conllu,ZWY-K20-s171
parataxis,kay2,PROPN,būdan,bawēd,ZWY-K20_mptf.conllu,ZWY-K20-s179
root,pādixšāyīh,NOUN,būdan,bawēd,ZWY-K43a_mptf.conllu,ZWY-K43a-s13
root,kam,ADJ,burdan,barēd,ZWY-K43a_mptf.conllu,ZWY-K43a-s118
root,rōšn,ADJ,kāstan,kāhēd,ZWY-K43a_mptf.conllu,ZWY-K43a-s135
root,rōšn,ADJ,āmadan,āyēd,ZWY-K43a_mptf.conllu,ZWY-K43a-s135
root,rōšn,ADJ,būdan,bawēd,ZWY-K43a_mptf.conllu,ZWY-K43a-s135
root,sadgānag,ADJ,dāštan,dārēnd,ZWY-K43a_mptf.conllu,ZWY-K43a-s158
root,sidīgar,ADV,rasīdan,rasēd,ZWY-K43a_mptf.conllu,ZWY-K43a-s170
