File,SentenceID,ClauseType,HeadLemma,Aux_Head,HeadUPOS,ConjLemma,ConjForm,Aux_Conj
PY-Pt4_mptf.conllu,s589,ccomp,dād,būd,NOUN,guftan,guft,-
PY-Pt4_mptf.conllu,s1920,acl:relcl,xwadāy,-,NOUN,dōšīdan,dōšīd,ēstēd
PY-Pt4_mptf.conllu,s1958,acl:relcl,abzōnīg,hēnd,ADJ,māndan1,mānēnd,-
PY-Pt4_mptf.conllu,s2001,root,hunsand,hām,ADJ,padīriftan,padīrām,-
RĀF-TD2_mptf.conllu,s13,root,hamdādestānīh,-,NOUN,būdan,bawēd,-
RĀF-TD2_mptf.conllu,s72,acl:relcl,mard,-,NOUN,murdan,mīrēd,-
RĀF-TD2_mptf.conllu,s72,acl:relcl,mard,-,NOUN,dādan,dahēd,-
RĀF-TD2_mptf.conllu,s72,acl:relcl,mard,-,NOUN,kirdan,kunēd,-
RĀF-TD2_mptf.conllu,s72,acl:relcl,mard,-,NOUN,kirdan|šōy kirdan,kunēd,-
RĀF-TD2_mptf.conllu,s856,acl:relcl,tang,-,ADJ,būdan,bawēd,-
WZ_K35.conllu,45,root,ādūg,bawēd,ADJ,būdan,būd,hēnd
WZ_K35.conllu,72,advcl,būdan,-,AUX,dāštan,dāšt,-
WZ_K35.conllu,241,acl,se,hāh,NUM,šāyistan,šāyēd,-
WZ_K35.conllu,271,acl:cleft,rōšn-waxšišn-īh,-,NOUN,warzišn,warzišn,-
WZ_K35.conllu,480,advcl,tēx,-,NOUN,šudan,šud,hēnd
ZWY-K20_mptf.conllu,ZWY-K20-s30,acl:relcl,tāg1,-,NOUN,dāštan,dārēd,-
ZWY-K20_mptf.conllu,ZWY-K20-s50,root,xwadāyīh,-,NOUN,kirdan,kunēd,-
ZWY-K20_mptf.conllu,ZWY-K20-s50,root,xwadāyīh,-,NOUN,būdan,bawēd,-
